destination,country/city
Hafod Estate,Wales
Cyfarthfa Castle,Wales
Carreg Cennen,Wales
Tham Lot Se Bang Fai,Laos
Anglesey Sea Zoo,Wales
Caernarfon Castle,"Wales,Anglesey & the North Coast"
Ainu Culture Promotion Centre,Japan
Portmeirion Village,Wales
Trevassa Monument,Mauritius
Penarth Fawr,Wales
Oriel Plas Glyn-y-Weddw,Wales
Porth Dinllaen,Wales
Narrow Gauge Railway Museum,Wales
Andrew Logan Museum of Sculpture,Wales
Llandovery Castle,Wales
Dolaucothi Gold Mines,Wales
Llanelli Wetland Centre,Wales
Arthur's Stone,Wales
Worms Head,Wales
Oxwich Castle,Wales
St Cenydd's Church,Wales
Three Cliffs Bay,Wales
Barafundle Bay,Wales
Powis Castle,"Wales,Mid-Wales"
Caernarfon Castle,Wales
Tredegar House,Wales
Centre for Alternative Technology,Wales
Île aux Aigrettes,Africa
Pulhapanzak,Honduras
Tayicseua,"Laos,Southern Laos"
Vieng Xai Caves,"Laos,Northern Laos"
Vieng Xai Caves,Laos
Schloss Schönbrunn,"Austria,Vienna"
Prater,"Austria,Vienna"
Schloss Belvedere,"Austria,Vienna"
Josephinum,"Austria,Vienna"
MuseumsQuartier,"Austria,Vienna"
Staatsoper,"Austria,Vienna"
Stephansdom,"Austria,Vienna"
Old Palapye (Phalatswe),Botswana
Kaiserliche Schatzkammer,"Austria,Vienna"
Sossusvlei,Africa
Holy Trinity Monastery,Montenegro
Schloss Grafenegg,Austria
Burg Güssing,"Austria,Burgenland"
Sveti Klement,Croatia
Burg Lockenhaus,"Austria,Burgenland"
Penken,Austria
St Anton Museum,Austria
Jüdisches Museum Hohenems,Austria
Stift Melk,Austria
Stadtpfarrkirche St Andrä,Austria
Porsche Museum Helmut Pfeifhofer,Austria
Heinrich Harrer Museum,Austria
Aussichtsturm Pyramidenkogel,Austria
Alpine Garden,Austria
Dachstein Eispalast,Austria
Basilika,Austria
Burg Riegersburg,Austria
Stift Engelszell,Austria
Stift Kremsmünster,Austria
Nationalpark Donau-Auen,Austria
Schloss Ambras,Austria
SNP Museum,Slovakia
Yaxchilán,Mexico
San Juan Bautista,Mexico
Iglesia de San Francisco de Asis,Mexico
Cataratas do Iguaçu,Brazil
Penarik Firefly Sanctuary,Malaysia
Longhouse,Malaysia
Três Cachoeiras,Brazil
Kompleks Muzium Negeri Terengganu,Malaysia
Guanyin Temple,Malaysia
Gua Tempurung,Malaysia
Maracanã Football Stadium,"Brazil,Rio de Janeiro"
Escadaria Selarón,"Brazil,Rio de Janeiro"
Ipanema Beach,"Brazil,Rio de Janeiro"
Reserva Natural Chocoyero-El Brujo,Nicaragua
Museo Coquesa,Bolivia
Reserva Nacional de Fauna Andina Eduardo Avaroa,Bolivia
Greytown,Nicaragua
Reserva Biológica Indio-Maíz,Nicaragua
Unión de Pintores y Artesanos de Solentiname ‘Elvis Chavarría’,Nicaragua
Islas Zapote & Zapotillo,Nicaragua
Reserva Privada El Quebracho,Nicaragua
Reserva Esperanza Verde,Nicaragua
Templo Parroquial de San Rafael Arcángel,Nicaragua
Playa El Coco,Nicaragua
Nuestra Señora de Solentiname,Nicaragua
La Fortaleza,Nicaragua
Cascada San Ramón,Nicaragua
Reserva Charco Verde,Nicaragua
Museos El Ceibo,Nicaragua
Centro Turistico La Boquita,Nicaragua
La Capilla Sixtina del Altiplano,Bolivia
Pōāiwa Petroglyph Trail,"USA,Hawaii"
San Vicente Museum,Bolivia
Centro Turistico Pochomil,Nicaragua
Brihadishwara Temple,India
Reserva Ecológica La Maquina,Nicaragua
Jageshwar Temple,India
Binsar Wildlife Sanctuary,India
Himadri Hans Handloom,India
Long Bay,Nicaragua
Tarpon Channel,Nicaragua
Isla Grande,Nicaragua
Volcán Maderas,Nicaragua
Volcán Concepción,Nicaragua
Nationalparkhaus,Austria
Dom,Austria
Mayflower Bocawina National Park,Belize
Mausoleum,Bulgaria
Lloyd George Museum,Wales
Top of the World,Uganda
Braich-y-Pwll,Wales
Sulina Cemetery,Romania
Nantclwyd y Dre,Wales
Tripura Sundari Mandir,India
798 Art District,"China,Beijing"
Summer Palace,"China,Beijing"
Fayuan Temple,"China,Beijing"
Beihai Park,"China,Beijing"
Temple of Heaven Park,"China,Beijing"
Lama Temple,"China,Beijing"
Lembaga Studi & Pelestarian Budaya Sumba,Indonesia
Betang Banua Tengah,Indonesia
Forbidden City,"China,Beijing"
Sedahan,Indonesia
St Joseph's Cathedral,"Indonesia,Kalimantan"
Spider Web Rice Fields,Indonesia
Stanford Hills,South Africa
South African Astronomical Observatory,South Africa
Mohale Dam Visitors Centre,Lesotho
Workshop Ko Kasi,South Africa
Umtamvuna Nature Reserve,South Africa
Anasazi State Park Museum,USA
Taman Nasional Teluk Cenderawasih,Indonesia
St Nicholas' Church,Wales
St Joseph's Cathedral,Indonesia
Prieuré de Salagon,France
Pantai Karang Hawu,Indonesia
Honomanu Park,"USA,Hawaii"
Beška,Montenegro
Ali Paša Springs,Montenegro
St Nicholas’ Monastery,Montenegro
Milena Canal,Montenegro
Stari Bar,Montenegro
Kamenovo,Montenegro
Lothal Archaeological Site,India
Sun Temple,India
Parque del Estrecho de Magallanes,Chile
Sheikh Zayed Grand Mosque,Middle East
Waiheʻe Beach Park,"USA,Hawaii"
Natural Ocean Baths,"USA,Hawaii"
Nakalele Blowhole,"USA,Hawaii"
Turnbull Studios & Sculpture Garden,"USA,Hawaii"
Museo de Colchagua,Chile
Museo Artesanía Chilena,Chile
Fathala Wildlife Reserve & Lodge,Senegal
Réserve Naturelle Somone,Senegal
Ruta del Vino de Casablanca,Chile
Centro Gabriela Mistral,Chile
Palais Royal,Cameroon
Villa Karo,Benin
Palais Royal,Africa
AmaZOOnico,Ecuador
Ulmer Münster,Germany
Cascadas de Peguche,Ecuador
Cascada de Taxopamba,Ecuador
Brockenhaus,Germany
Brüder Grimm-Haus and Museum Steinau,Germany
Goongerah Wombat Orphanage,"Australia,Victoria"
Puʻu o Kila Lookout,"USA,Hawaii"
Waimea Canyon Drive,"USA,Hawaii"
Kekaha Beach Park,"USA,Hawaii"
Menehune Ditch,"USA,Hawaii"
Salt Pond Beach Park,"USA,Hawaii"
Kauai Coffee Company,"USA,Hawaii"
Keʻe Beach,"USA,Hawaii"
Limahuli Garden,"USA,Hawaii"
Black Pot Beach Park (Hanalei Pier),"USA,Hawaii"
Lawaʻi International Center,"USA,Hawaii"
National Tropical Botanical Garden,"USA,Hawaii"
Koloa Jodo Mission,"USA,Hawaii"
Kilauea Point National Wildlife Refuge,"USA,Hawaii"
ʻAliomanu Beach,"USA,Hawaii"
Kapaʻa Beach Park,"USA,Hawaii"
ʻAnini Beach Park,"USA,Hawaii"
Moloaʻa Beach,"USA,Hawaii"
Pali Ke Kua (Hideaways) Beach,"USA,Hawaii"
Kepuhi Beach,"USA,Hawaii"
Kauaʻi's Hindu Monastery,"USA,Hawaii"
Purdy's Macadamia Nut Farm,"USA,Hawaii"
Papohaku Beach,"USA,Hawaii"
Waikolu Lookout,"USA,Hawaii"
Kamakou Preserve,"USA,Hawaii"
Molokaʻi Museum & Cultural Center,"USA,Hawaii"
Halawa Beach Park,"USA,Hawaii"
Rock Point,"USA,Hawaii"
Lanaʻi Cat Sanctuary,"USA,Hawaii"
Hulopoʻe Beach,"USA,Hawaii"
Lanaʻi Culture & Heritage Center,"USA,Hawaii"
Waimoku Falls,"USA,Hawaii"
Puʻuʻulaʻula (Red Hill) Overlook,"USA,Hawaii"
Nu'u Bay,"USA,Hawaii"
Charles Lindbergh’s Grave,"USA,Hawaii"
Hamoa Beach,"USA,Hawaii"
Paʻiloa Beach,"USA,Hawaii"
Makapipi Falls,"USA,Hawaii"
Keʻanae Peninsula,"USA,Hawaii"
Garden of Eden Arboretum,"USA,Hawaii"
Piʻilanihale Heiau & Kahanu Garden,"USA,Hawaii"
Kaulanapueo Church,"USA,Hawaii"
Aliʻi Kula Lavender,"USA,Hawaii"
Sun Yat-sen Park,"USA,Hawaii"
Makawao History Museum,"USA,Hawaii"
Kanaio Beach,"USA,Hawaii"
ʻAhihi-Kinaʻu Natural Area Reserve,"USA,Hawaii"
Big Beach,"USA,Hawaii"
Wailea Beach,"USA,Hawaii"
Keawakapu Beach,"USA,Hawaii"
Kealia Pond National Wildlife Refuge,"USA,Hawaii"
Alexander & Baldwin Sugar Museum,"USA,Hawaii"
ʻIao Valley State Monument,"USA,Hawaii"
Kepaniwai Park & Heritage Gardens,"USA,Hawaii"
Kanaha Beach Park,"USA,Hawaii"
Hale Hōʻikeʻike at the Bailey House,"USA,Hawaii"
Kapalua Beach,"USA,Hawaii"
Napili Beach,"USA,Hawaii"
Pohaku Park,"USA,Hawaii"
Honokowai Beach Park,"USA,Hawaii"
Olowalu Petroglyphs,"USA,Hawaii"
Hanaka‘o‘o Beach Park,"USA,Hawaii"
Launiupoko Beach Park,"USA,Hawaii"
Old Lahaina Courthouse,"USA,Hawaii"
Niaulani Campus,"USA,Hawaii"
Halemaʻumaʻu Crater,"USA,Hawaii"
Paliʻokulani Overlook,"USA,Hawaii"
Green Sand Beach,"USA,Hawaii"
Honuʻapo Bay Overlook,"USA,Hawaii"
Punaluʻu Black Sand Beach Park,"USA,Hawaii"
Ha'ena Beach,"USA,Hawaii"
Makuʻu Farmers Market,"USA,Hawaii"
Hawaii Plantation Museum,"USA,Hawaii"
Kaʻu Coffee Mill,"USA,Hawaii"
Kehena Beach,"USA,Hawaii"
Botanical World Adventures,"USA,Hawaii"
Laupahoehoe Point Beach Park,"USA,Hawaii"
ʻAkaka Falls State Park,"USA,Hawaii"
NHERC Heritage Center,"USA,Hawaii"
Waipiʻo Valley Lookout,"USA,Hawaii"
Mauna Kea's Summit Area,"USA,Hawaii"
Kohala Institute,"USA,Hawaii"
Moʻokini Heiau,"USA,Hawaii"
Kalahuipuaʻa Historic Trail,"USA,Hawaii"
Puʻukohola Heiau National Historic Site,"USA,Hawaii"
ʻAnaehoʻomalu Beach Park,"USA,Hawaii"
Mauʻumae Beach,"USA,Hawaii"
Kikaua Point Park,"USA,Hawaii"
Hawaii Ocean Science & Technology Park,"USA,Hawaii"
Honomalino Beach,"USA,Hawaii"
Hoʻokena Beach Park,"USA,Hawaii"
Puʻuhonua o Honaunau National Historical Park,"USA,Hawaii"
St Benedict's Painted Church,"USA,Hawaii"
Kealakekua Bay State Historical Park,"USA,Hawaii"
Kona Coffee Living History Farm,"USA,Hawaii"
Greenwell Farms,"USA,Hawaii"
Pokaʻi Bay Beach Park,"USA,Hawaii"
Donkey Mill Art Center,"USA,Hawaii"
Keawa'ula Beach,"USA,Hawaii"
Kahe Point Beach Park,"USA,Hawaii"
Daifukuji Soto Mission,"USA,Hawaii"
Maʻili Beach Park,"USA,Hawaii"
End of the World,"USA,Hawaii"
Ko Olina Lagoons,"USA,Hawaii"
Dillingham Airfield,"USA,Hawaii"
Waialua Sugar Mill,"USA,Hawaii"
Haleʻiwa Aliʻi Beach Park,"USA,Hawaii"
Mokuʻauia,"USA,Hawaii"
James Campbell National Wildlife Refuge,"USA,Hawaii"
Laʻie Beach Park,"USA,Hawaii"
Hauʻula Beach Park,"USA,Hawaii"
Punaluʻu Beach Park,"USA,Hawaii"
Ahupuaʻa o Kahana State Park,"USA,Hawaii"
Crouching Lion,"USA,Hawaii"
Kualoa Regional Park,"USA,Hawaii"
Senator Fong's Plantation & Gardens,"USA,Hawaii"
Kailua Beach Park,"USA,Hawaii"
Gyotaku by Naoki,"USA,Hawaii"
Nuʻuanu Pali State Wayside,"USA,Hawaii"
Alan Davis Beach & Pele's Chair,"USA,Hawaii"
Waimanalo Bay Beach Park,"USA,Hawaii"
Hanauma Bay Nature Preserve,"USA,Hawaii"
El Yunque,Cuba
Spitting Cave,"USA,Hawaii"
Diamond Head State Monument,"USA,Hawaii"
Sandy Beach Park,"USA,Hawaii"
Faro de Maisí,Cuba
Playa Manglito,Cuba
Playita de Cajobabo,Cuba
Salto del Guayabo,Cuba
Museo Combate de la Plata,Cuba
Museo Fernando García Grave de Peralta,Cuba
Finca La Belén,Cuba
Playa Bonita,Cuba
La Presa de Florencia,Cuba
Museo Nacional Camilo Cienfuegos,Cuba
Loma de Cunagua,Cuba
Museo de Arte Cubano Contemporáneo,Cuba
El Pueblo Holandés,Cuba
Laguna La Redonda,Cuba
San Isidro de los Destiladeros,Cuba
Reserva Ecological Alturas de Banao,Cuba
Refugio de Fauna Cayo Santa María,Cuba
Museo de Playa Girón,Cuba
Finca Coincidencia,Cuba
Chiesa dell’Annunziata,Italy
Hacienda Cortina,Cuba
Los Aquáticos,Cuba
Playa las Tumbas,"Cuba,Pinar del Río Province"
Vega Quemado del Rubi,Cuba
Cueva de Punta del Este,Cuba
Punta Francés,Cuba
Puente de Bacunayagua,Cuba
Antiguo Cafetal Angerona,Cuba
Deir Qannoubin,Lebanon
Jounieh Téléférique,Lebanon
Jeita Grotto,Lebanon
Museo Hemingway,"Cuba,Havana"
Fusterlandia,"Cuba,Havana"
Lake Concordia,Antarctica
Amundsen-Scott South Pole Station,Antarctica
Plateau Observatory,Antarctica
Mawson's Main Hut,Antarctica
Original Accommodation Building,Antarctica
Penguin Colony,Antarctica
Zhongshan Station,Antarctica
Weddell Hut,Antarctica
Murray Monolith,Antarctica
Crary Science & Engineering Center,Antarctica
Mario Zucchelli Station,Antarctica
Borchgrevink’s Huts,Antarctica
Nordenskjöld Hut,Antarctica
East Base,Antarctica
Academician Vernadsky Station,Antarctica
Bransfield House,Antarctica
Capitán Arturo Prat Station,Antarctica
Eco-Nelson,Antarctica
Juan Carlos Primero Station,Antarctica
Eduardo Frei Montalva Station,Antarctica
Barnard Memorial Museum,Antarctica
British War Cemetery,Antarctica
Grave of Matthew Brisbane,Antarctica
Signy Research Station,Antarctica
Christ Church Cathedral,Antarctica
Cañón de San Cristóbal,Puerto Rico
Iglesia de Porta Coeli,Puerto Rico
Museo de Arte de Ponce,Puerto Rico
Playa Flamenco,Puerto Rico
Cabezas de San Juan Reserva Natural,Puerto Rico
Sandy Point National Wildlife Refuge,US Virgin Islands
Salt River Bay National Historic Park,US Virgin Islands
Christiansted National Historic Site,US Virgin Islands
Salt Pond Bay,US Virgin Islands
Annaberg Sugar Mill Ruins,US Virgin Islands
Hoyo de Pelempito,Dominican Republic
Playa Los Patos,Dominican Republic
Reserva Antropológica Cuevas del Pomier,Dominican Republic
Playa Grande,Dominican Republic
Île-à-Rat,Haiti
Montaña Redonda,Dominican Republic
Musée Colonial Ogier-Fombrun,Haiti
Parc Historique de la Canne à Sucre,Haiti
Citadelle Laferrière,Haiti
Bassin Bleu,Haiti
Museum of the People,Haiti
Main Haus Tambaran,Papua New Guinea
Yuo Island,Papua New Guinea
Cape Wom Memorial Park,Papua New Guinea
Church,Papua New Guinea
Tari Basin,Papua New Guinea
Ohu Butterfly Habitat,Papua New Guinea
Wildlife Management Area,Papua New Guinea
Marshall’s Pen,Jamaica
Varirata National Park,"Papua New Guinea,Port Moresby"
Lover's Leap,Jamaica
Waterfall,Papua New Guinea
Peace Cave,Jamaica
Bamboo Avenue,Jamaica
Belmont Beach,Jamaica
Appleton Rum Estate,Jamaica
Good Hope Great House,Jamaica
Jurassic Park,Jamaica
Seaford Town Historical Museum,Jamaica
Half Moon Beach,Jamaica
Windsor Cave,Jamaica
Mayfield Falls,Jamaica
St Mary’s Anglican Church,Jamaica
Animal Farm,Jamaica
Tryall Estate,Jamaica
Jacob Taylor Beach,Jamaica
Rose Hall Great House,Jamaica
Bob Marley Mausoleum & Museum,Jamaica
Gallery Joe James,Jamaica
Cranbrook Rainforest Gardens,Jamaica
Seville Great House,Jamaica
Brimmer Hall,Jamaica
Firefly,Jamaica
Castleton Gardens,Jamaica
Reach Falls,Jamaica
Tacky Falls,Jamaica
Nanny Falls,Jamaica
Boston Bay Beach,Jamaica
Morant Point Lighthouse,Jamaica
Cinchona Gardens,Jamaica
Craighton Coffee Estate,Jamaica
Alligator Hole Wildlife Reserve,Jamaica
Portland Bight Protected Area,Jamaica
Fort Charles,Jamaica
Mongolian Market,Russia
National Gallery of Jamaica,Jamaica
Ikar Lake,"Russia,Russian Far East"
Permafrost Kingdom,"Russia,Russian Far East"
St Mark's Chapel,Jamaica
Khazret Osman Mosque,"Russia,Western Siberia"
Geyser Lake,"Russia,Western Siberia"
Geyser Lake,Russia
Mt Elbrus,"Russia,Russian Caucasus"
Regional Museum,Russia
European Bison Farm,Russia
Ivolginsk (Ivolga) Datsan,Russia
Lik Khrista,Russia
Kizhi Museum Reserve,"Russia,Northern European Russia"
Becker Park,Russia
Kang Viewpoint,Iran
Radkan Tower,Iran
Espakho,Iran
Mil-e-Radkan Qarbi,Iran
Mil-e Gonbad,Iran
Pechory Monastery,Russia
Haram-e Razavi,Iran
Deh Salm,Iran
Borisoglebsky Monastery,Russia
Bazar-e Sartasari,Iran
Rainbow Valley,Iran
Laft,Iran
Statue of Shapur I,Iran
Tourist Village of Abbas Barzegar & Family,Iran
Tomb of Cyrus,Iran
Narin Castle,Iran
Naqsh-e Rostam,Iran
Pir-e-Sabz Fire Temple,Iran
Masjed-e Jameh,Iran
Saryazd Fortress,Iran
Zardkuh Glaciers,Iran
Chaleshtar Castle,Iran
Niasar Waterfall,Iran
Masjed-e Shah,Iran
Grotte de la Reine Hortense,New Caledonia
Convict Prison Ruins,New Caledonia
Statue of St Maurice,New Caledonia
Brooding Hen & Sphinx,New Caledonia
The Heart of Voh,New Caledonia
Église Ste Jeanne d’Arc,New Caledonia
Parc Provincial de la Rivière Bleue,New Caledonia
Blue Holes National Park,The Bahamas
Leon Levy Native Plant Reserve,"The Bahamas,Out Islands"
Surfer's Beach,The Bahamas
Banya Museum,Russia
Qasr Usaykim,Jordan
Qasr Al Hallabat Fort,Jordan
Siq,Jordan
Lot’s Cave,Jordan
Khirbet Tannour Temple,Jordan
Church of St Stephen,Jordan
House of Calligraphy,Jordan
West Theatre,Jordan
Alamut Castle,Iran
Lamiasar Castle,Iran
Pir Shaliar Shrine,Iran
Sheikh Zahed Mausoleum,Iran
Kordasht Hammam,Iran
Golestan Palace,Iran
Taybeh Winery,Palestinian Territories
Imamzadeh Shah-e Abdal-Azim,Iran
Freedom Theatre,Palestinian Territories
Beit Lohamei HaGeta’ot,Israel
Kursi National Park,Israel
Kinneret Cemetery,Israel
"Museum of Art, Ein Harod",Israel
Circassian Heritage Center,Israel
Mount of the Beatitudes,Israel
Tabor Winery,Israel
Franciscan Monastery & Church,Israel
Nachmani Winery,Israel
Palmachim Beach,Israel
Pelter Winery,Israel
Odem Mountain Winery,Israel
Adir Winery,Israel
Latrun Monastery,Israel
Our Lady of the Ark of the Covenant,Israel
Beit Guvrin-Maresha National Park,Israel
Alofaaga Blowholes,Samoa
Mt Matavanu Crater,Samoa
To Sua Ocean Trench,Samoa
Cape Mulinu’u,Samoa
EFKS Museum,Samoa
O Le Pupu-Pu’e National Park,Samoa
Robert Louis Stevenson Museum & Mt Vaea National Reserve,Samoa
Kwaibala Waterfall,Solomon Islands
Bonegi,Solomon Islands
‘Ene’io Botanical Garden,Tonga
Hihifo’s Archaeological Sites,Tonga
Port Olry,Vanuatu
Ha’amonga ‘a Maui Trilithon,Tonga
Mt Yasur,Vanuatu
Cathédrale Saint-Michel,
Motu Piscine,
Tohua Mauia,
Tiki Moe One,
Calvaire Cemetery,
"Kamuihei, Tahakia & Teiipoka",
Te Ai'tua,
Tohua Koueva,
Tavoro Waterfalls,Fiji
Waitavala Water Slide,Fiji
Naag Mandir Temple,Fiji
Waisali Rainforest Reserve,Fiji
Blue Lagoon,Fiji
Namotu Island,Fiji
Musket Cove Marina,Fiji
Naiserelagi Catholic Mission,"Fiji,Nadi, Suva & Viti Levu"
Pointe Vénus & Matavai Bay,
Bain de Vaima & Vaipahi Spring Gardens,
Musée de Tahiti et des Îles,
Uciwai Landing,Fiji
Momi Guns,Fiji
Craft Market,Fiji
Big Bula Inflatable Waterpark,Fiji
Navilawa,Fiji
Sri Siva Subramaniya Swami Temple,Fiji
Fiji Museum,Fiji
Saua Site,American Samoa
Kidepo Valley National Park,Uganda
Taks Centre,Uganda
Mparo Tombs,Uganda
Nabajjuzi Wetlands,Uganda
Igongo Cultural Centre,Uganda
Bwama & Njuyeera (Sharp’s) Islands,Uganda
Ngamba Island Chimpanzee Sanctuary,Uganda
Pool of Al Anazia,Israel
Herzliya Beach,Israel
Basilica of the Annunciation,Israel
Agamon HaHula,Israel
Banias Nature Reserve,Israel
The Human Condition,Israel
Corniche,United Arab Emirates
Moreeb Dune,United Arab Emirates
Baladna Farm,Qatar
Mesaieed Sealine Public Beach,Qatar
Souq Al Wakrah,Qatar
South Luangwa National Park,Africa
Mnazi Bay-Ruvuma Estuary Marine Park,Tanzania
Stiegler's Gorge,Tanzania
Selous Game Reserve,Tanzania
Selous-Niassa Wildlife Corridor,Tanzania
Ruaha National Park,Tanzania
Palmeraie,Tunisia
Katavi National Park,Tanzania
Djerba Traditional Heritage Museum,Tunisia
Parc Djerba Explore,Tunisia
Roman Pools,Tunisia
La Corbeille,Tunisia
Ksar,Tunisia
Musée Memoire de la Terre,Tunisia
El Jem Amphitheatre,Tunisia
Rubondo Island National Park,Tanzania
Ribat,Tunisia
Hotel Sidi Driss,Tunisia
Musée de Mahdia,Tunisia
Sufetula,Tunisia
Zaouia of Sidi Ali Azouz,Tunisia
Dougga,Tunisia
Mnada,Tanzania
Commonwealth War Cemetery,Tunisia
Fenga Rock-Art Complex,Tanzania
Plage de Sidi Mansour,Tunisia
Korba Lagoon,Tunisia
Neapolis,Tunisia
Port Aux Prince,Tunisia
Ghorofani Market,Tanzania
Ngorongoro Crater,"Tanzania,Northern Tanzania"
Djebel Sidi Abiod,Tunisia
Olpopongi Maasai Cultural Village,Tanzania
Tarangire National Park,Tanzania
Mkomazi National Park,Tanzania
Benedictine Abbey Church,Hungary
Amani Nature Reserve,Tanzania
Saadani National Park,Tanzania
Ubar,Oman
Rock Formation,Oman
Jebel Samhan Viewpoint,Oman
Bin Ali's Tomb,Oman
Mughsail,Oman
Al Wusta Wildlife Reserve,Oman
Jebel Harim Pass,Oman
Khor Al Sham,Oman
Rustaq Fort,Oman
Nakhal Fort,Oman
Al Khandaq Fort,Oman
Beehive Tombs,Oman
Sulaif Castle,Oman
Jabreen Castle,Oman
Wadi Ghul Viewpoint,Oman
Misfat Viewpoint,Oman
Old Village,Oman
Sinaw Souq,Oman
Bidaya Museum,Oman
Bait Al Safah,Oman
Old Castle Museum,Oman
Jami Al Hamoda Mosque,Oman
Filim,Oman
Beach,Oman
Ras Al Hadd Fort,Oman
Wadi Shab,Oman
Jaylah Tombs,Oman
Wadi Dayqah Dam,Oman
Al Khobaar Lake Resort,Oman
Bandar Khayran,Oman
Seeb Corniche,Oman
KOC Ahmad Al Jaber Oil & Gas Exhibition,Kuwait
Kamchatka Regional Museum,"Russia,Russian Far East"
BAM Museum,"Russia,Russian Far East"
Zarya Centre for Contemporary Art,"Russia,Russian Far East"
Beit Sheikh Isa Bin Ali Al Khalifa,Bahrain
Al Areen Wildlife Park & Reserve,Bahrain
Al Jasra House,Bahrain
Zarya Centre for Contemporary Art,Russia
A'Ali Royal Burial Mounds,Bahrain
Decembrist Museum,Russia
Stalin's Dacha,"Russia,Russian Caucasus"
Felitsyn Museum,"Russia,Russian Caucasus"
Chersky Rock,Russia
Railway Station,Russia
Kurortny Park,"Russia,Russian Caucasus"
Stolby Nature Reserve,Russia
Vumawimbi Beach,Tanzania
Solovetsky Transfiguration Monastery,Russia
Perm-36,Russia
Mamaev Kurgan,Russia
Kurortny Park,Russia
Dar es Salaam Marine Reserve System,"Tanzania,Dar es Salaam"
Purnululu National Park,"Australia,Western Australia"
Vlamingh Head Lighthouse,"Australia,Western Australia"
Turquoise Bay,"Australia,Western Australia"
Murujuga National Park,"Australia,Western Australia"
Hamelin Pool,"Australia,Western Australia"
Kunduchi Ruins,"Tanzania,Dar es Salaam"
Jarndunmunha,"Australia,Western Australia"
Lesueur National Park,"Australia,Western Australia"
Yanchep National Park,"Australia,Western Australia"
Westways Wildflower Farm,"Australia,Western Australia"
Newcastle Gaol Museum,"Australia,Western Australia"
Bilya Koort Boodja,"Australia,Western Australia"
Mt Brown Lookout,"Australia,Western Australia"
Mundaring Weir,"Australia,Western Australia"
Edenvale Homestead,"Australia,Western Australia"
Core Cider,"Australia,Western Australia"
Serpentine Falls,"Australia,Western Australia"
Khatmiyah Mosque,Sudan
Jebel Barkal,Sudan
Anse Maquereau,Seychelles
Grand Palace,Russia
Novgorod State United Museum,Russia
Hassan II Mosque,Morocco
Grande Mosquée,Morocco
Borodino Field,"Russia,Moscow"
Akagera National Park,Rwanda
Saviour Monastery of St Euthymius,Russia
Maison Traditionnelle,Morocco
Église St Pierre,Rwanda
Ethnographic Museum,Rwanda
Nyungwe Forest National Park,Rwanda
Rubona Peninsula,Rwanda
Nkotsi Village,Rwanda
King's Palace Museum – Rukari,Rwanda
Volubilis,Morocco
God's Bridge,Morocco
Église,Africa
Puits des Anglais,Africa
Cap Méchant,Africa
Medina,Morocco
Le Grand Brûlé Platform,Africa
Le Jardin des Parfums et des Épices,Africa
Cascade de la Grande Ravine,Africa
La Maison de Laurina,Africa
Maison du Curcuma,Africa
Plage de Grande Anse,Africa
Musée des Sources de Lalla Mimouna,Morocco
Plaine des Sables,Africa
Iriqui National Park,Morocco
Source Bleue de Meski,Morocco
Glaoui Kasbah,Morocco
Erg Chebbi,Morocco
Cascades d’Irhoulidene,Morocco
La Fenêtre,Africa
Zawiya of Sidi Moussa,Morocco
Sucrerie du Gol,Africa
Plage de L'Étang-Salé-les-Bains,Africa
Stella Matutina,Africa
Erg Chigaga,Morocco
Plage de la Souris Chaude,Africa
Frederik Hendrik Museum & Vieux Grand Port Historic Site,"Mauritius,The Southeast"
St Aubin,Mauritius
Ebony Forest of Chamarel,Mauritius
Rivulet Terre Rouge Bird Sanctuary,Mauritius
Eureka,Mauritius
Parc National Masoala-Nosy Mangabe,Madagascar
Maison Blanche,Madagascar
Cimetière des Pirates,Madagascar
Ambodiriana Forest,Madagascar
Soledar Salt Mine,Ukraine
Sviatohirsk Lavra,Ukraine
Kara-Dag Nature Reserve Bio-station,Ukraine
Kharkiv Art Museum,Ukraine
Gurzuf Park,Ukraine
Livadia Palace,Ukraine
Prymorsky Boulevard,Ukraine
Museum of Hutsul Folk Art and Life,Ukraine
Castle,Ukraine
Pyatnystke Cemetery,Ukraine
Kamyanets-Podilsky Fortress,Ukraine
Lychakivsky Cemetery,Ukraine
Taras Shevchenko Museum,"Ukraine,Kyiv,Around Kyiv"
Mezhyhirya,"Ukraine,Kyiv"
Parc Zoologique Ivoloina,Madagascar
Vohibola Forest,Madagascar
Parc National Analamazaotra,Madagascar
Parc National Marojejy,Madagascar
Nosy Lonja,Madagascar
Millot Plantations,Madagascar
Lemur Park,Madagascar
Andilana,Madagascar
Sacred Banyan Tree,Madagascar
Parc National de Kirindy-Mitea,Madagascar
Allée des Baobabs,Madagascar
Katsepy’s Lighthouse,Madagascar
Parc National Andohahela,Madagascar
Parc National Tsimanampetsotse,Madagascar
Loblolly Bay Beach,British Virgin Islands
Cow Wreck Bay,British Virgin Islands
Savannah Bay,British Virgin Islands
Norman Island,British Virgin Islands
Josiah’s Bay,British Virgin Islands
White Bay,British Virgin Islands
Smuggler’s Cove,British Virgin Islands
Rova,Madagascar
Ethnographic Museum,Madagascar
Arboretum d'Antsokay,Madagascar
Reniala Nature Reserve,Madagascar
Parc National Isalo,Madagascar
Aluminium Pot Workshop,Madagascar
Takwa Ruins,Kenya
Shela Beach,Kenya
Kiunga Marine National Reserve,Kenya
Shanga,Kenya
Lamu Museum,Kenya
Croc Farm,Madagascar
